city,local_time,weather,temperature
Honolulu,Tue 2:23 pm,Scattered clouds. Warm.,86 °F
Phoenix,Tue 5:23 pm,Broken clouds. Extremely hot.,106 °F
Asuncion,Tue 9:23 pm,Passing clouds. Mild.,68 °F
Houston *,Tue 7:23 pm,Partly sunny. Hot.,90 °F
Prague *,Wed 2:23 am,Clear. Mild.,66 °F
Athens *,Wed 3:23 am,Mild.,73 °F
Indianapolis *,Tue 8:23 pm,Partly sunny. Warm.,87 °F
Reykjavik,Wed 12:23 am,Drizzle. Mostly cloudy. Cool.,50 °F
Atlanta *,Tue 8:23 pm,Sunny. Warm.,85 °F
Islamabad,Wed 5:23 am,Haze. Warm.,81 °F
Rio de Janeiro,Tue 9:23 pm,Partly cloudy. Mild.,72 °F
Auckland,Wed 12:23 pm,Clear. Cool.,59 °F
Istanbul,Wed 3:23 am,Clear. Mild.,68 °F
Riyadh,Wed 3:23 am,Clear. Extremely hot.,93 °F
Baghdad,Wed 3:23 am,Clear. Pleasantly warm.,85 °F
Jakarta,Wed 7:23 am,Partly sunny. Mild.,75 °F
Rome *,Wed 2:23 am,Clear. Warm.,77 °F
Bangkok,Wed 7:23 am,Passing clouds. Warm.,81 °F
Jerusalem *,Wed 3:23 am,Mild.,73 °F
Salt Lake City *,Tue 6:23 pm,Passing clouds. Pleasantly warm.,82 °F
Barcelona *,Wed 2:23 am,Passing clouds. Warm.,81 °F
Johannesburg,Wed 2:23 am,Passing clouds. Cool.,56 °F
San Francisco *,Tue 5:23 pm,Partly sunny. Warm.,80 °F
Beijing,Wed 8:23 am,Passing clouds. Mild.,66 °F
Karachi,Wed 5:23 am,Passing clouds. Warm.,81 °F
San Juan,Tue 8:23 pm,Passing clouds. Warm.,83 °F
Beirut *,Wed 3:23 am,Passing clouds. Mild.,75 °F
Kathmandu,Wed 6:08 am,Partly cloudy. Mild.,70 °F
San Salvador,Tue 6:23 pm,Sunny. Mild.,75 °F
Belgrade *,Wed 2:23 am,Clear. Mild.,68 °F
Kingston,Tue 7:23 pm,Warm.,87 °F
Santiago *,Tue 9:23 pm,Partly cloudy. Cool.,50 °F
Bengaluru,Wed 5:53 am,Passing clouds. Mild.,72 °F
Kinshasa,Wed 1:23 am,Passing clouds. Warm.,79 °F
Santo Domingo,Tue 8:23 pm,Overcast. Hot.,90 °F
Berlin *,Wed 2:23 am,Clear. Mild.,70 °F
Kiritimati,Wed 2:23 pm,More clouds than sun. Warm.,81 °F
São Paulo,Tue 9:23 pm,Clear. Mild.,64 °F
Bogota,Tue 7:23 pm,Passing clouds. Cool.,61 °F
Kolkata,Wed 5:53 am,Fog. Warm.,79 °F
Seattle *,Tue 5:23 pm,Sunny. Mild.,74 °F
Boston *,Tue 8:23 pm,Passing clouds. Mild.,67 °F
Kuala Lumpur,Wed 8:23 am,Passing clouds. Warm.,81 °F
Seoul,Wed 9:23 am,Passing clouds. Mild.,72 °F
Brasilia,Tue 9:23 pm,Clear. Mild.,72 °F
Kuwait City,Wed 3:23 am,Clear. Hot.,92 °F
Shanghai,Wed 8:23 am,Partly sunny. Warm.,77 °F
Brisbane,Wed 10:23 am,Cool.,66 °F
Kyiv *,Wed 3:23 am,Clear. Cool.,55 °F
Singapore,Wed 8:23 am,Partly sunny. Warm.,84 °F
Brussels *,Wed 2:23 am,Passing clouds. Cool.,55 °F
La Paz,Tue 8:23 pm,Light rain. Low clouds. Quite cool.,42 °F
Sofia *,Wed 3:23 am,Clear. Cool.,62 °F
Bucharest *,Wed 3:23 am,Clear. Cool.,61 °F
Lagos,Wed 1:23 am,Passing clouds. Warm.,79 °F
St. John's *,Tue 9:53 pm,Mostly cloudy. Cool.,52 °F
Budapest *,Wed 2:23 am,Clear. Mild.,63 °F
Lahore,Wed 5:23 am,Clear. Warm.,84 °F
Stockholm *,Wed 2:23 am,Drizzle. Overcast. Cool.,57 °F
Buenos Aires,Tue 9:23 pm,Passing clouds. Cool.,59 °F
Las Vegas *,Tue 5:23 pm,Passing clouds. Extremely hot.,95 °F
Suva,Wed 12:23 pm,Overcast. Mild.,76 °F
Cairo *,Wed 3:23 am,Clear. Warm.,81 °F
Lima,Tue 7:23 pm,Passing clouds. Mild.,76 °F
Sydney,Wed 10:23 am,Scattered clouds. Mild.,66 °F
Calgary *,Tue 6:23 pm,Partly sunny. Mild.,68 °F
Lisbon *,Wed 1:23 am,Passing clouds. Mild.,72 °F
Taipei,Wed 8:23 am,Scattered clouds. Warm.,84 °F
Canberra,Wed 10:23 am,Sunny. Cool.,50 °F
London *,Wed 1:23 am,Clear. Cool.,54 °F
Tallinn *,Wed 3:23 am,Passing clouds. Cool.,61 °F
Cape Town,Wed 2:23 am,Fog. Cool.,57 °F
Los Angeles *,Tue 5:23 pm,Sunny. Warm.,85 °F
Tashkent,Wed 5:23 am,Clear. Mild.,73 °F
Caracas,Tue 8:23 pm,Passing clouds. Warm.,82 °F
Madrid *,Wed 2:23 am,Passing clouds. Mild.,73 °F
Tegucigalpa,Tue 6:23 pm,Scattered clouds. Warm.,82 °F
Casablanca *,Wed 1:23 am,Mild.,75 °F
Managua,Tue 6:23 pm,Passing clouds. Hot.,90 °F
Tehran,Wed 3:53 am,Passing clouds. Mild.,68 °F
Chicago *,Tue 7:23 pm,Scattered clouds. Warm.,83 °F
Manila,Wed 8:23 am,Light rain. Overcast. Warm.,78 °F
Tokyo,Wed 9:23 am,Partly sunny. Warm.,84 °F
Copenhagen *,Wed 2:23 am,Light rain. Overcast. Cool.,59 °F
Melbourne,Wed 10:23 am,Partly sunny. Cool.,52 °F
Toronto *,Tue 8:23 pm,Passing clouds. Mild.,72 °F
Dallas *,Tue 7:23 pm,Broken clouds. Extremely hot.,99 °F
Mexico City,Tue 6:23 pm,Mostly cloudy. Mild.,72 °F
Vancouver *,Tue 5:23 pm,Sunny. Mild.,66 °F
Dar es Salaam,Wed 3:23 am,Passing clouds. Mild.,72 °F
Miami *,Tue 8:23 pm,Passing clouds. Warm.,85 °F
Vienna *,Wed 2:23 am,Clear. Mild.,73 °F
Darwin,Wed 9:53 am,Sunny. Warm.,84 °F
Minneapolis *,Tue 7:23 pm,Partly sunny. Warm.,82 °F
Warsaw *,Wed 2:23 am,Clear. Mild.,64 °F
Denver *,Tue 6:23 pm,Broken clouds. Mild.,72 °F
Minsk,Wed 3:23 am,Clear. Cool.,52 °F
Washington DC *,Tue 8:23 pm,Passing clouds. Warm.,78 °F
Detroit *,Tue 8:23 pm,Sunny. Mild.,76 °F
Montevideo,Tue 9:23 pm,Passing clouds. Cool.,57 °F
Winnipeg *,Tue 7:23 pm,Mild.,65 °F
Dhaka,Wed 6:23 am,Low clouds. Warm.,82 °F
Montréal *,Tue 8:23 pm,Passing clouds. Mild.,68 °F
Yangon,Wed 6:53 am,Partly sunny. Warm.,79 °F
Doha,Wed 3:23 am,Clear. Extremely hot.,99 °F
Moscow,Wed 3:23 am,Clear. Quite cool.,43 °F
Zagreb *,Wed 2:23 am,Clear. Mild.,63 °F
Dubai,Wed 4:23 am,Clear. Extremely hot.,93 °F
Mumbai,Wed 5:53 am,Passing clouds. Warm.,84 °F
Zürich *,Wed 2:23 am,Passing clouds. Mild.,64 °F
